sample0s0ax,sample0s0ay,sample0s0az,sample0s0gx,sample0s0gy,sample0s0gz,sample1s0ax,sample1s0ay,sample1s0az,sample1s0gx,sample1s0gy,sample1s0gz,sample2s0ax,sample2s0ay,sample2s0az,sample2s0gx,sample2s0gy,sample2s0gz,sample3s0ax,sample3s0ay,sample3s0az,sample3s0gx,sample3s0gy,sample3s0gz,sample4s0ax,sample4s0ay,sample4s0az,sample4s0gx,sample4s0gy,sample4s0gz,sample5s0ax,sample5s0ay,sample5s0az,sample5s0gx,sample5s0gy,sample5s0gz,sample6s0ax,sample6s0ay,sample6s0az,sample6s0gx,sample6s0gy,sample6s0gz,sample7s0ax,sample7s0ay,sample7s0az,sample7s0gx,sample7s0gy,sample7s0gz,sample8s0ax,sample8s0ay,sample8s0az,sample8s0gx,sample8s0gy,sample8s0gz,sample9s0ax,sample9s0ay,sample9s0az,sample9s0gx,sample9s0gy,sample9s0gz,key
95,-385,-2194,3729,-3331,-781,8,-310,-2189,3258,-4181,-799,-15,-366,-2204,3699,-4286,-1772,-49,-414,-2139,4060,-5116,-2248,-18,-408,-2113,4524,-5195,-3132,-2,-421,-2113,4792,-5676,-3754,-31,-371,-2185,4714,-6575,-4140,75,-364,-2374,4084,-6776,-4084,2888,3698,-15374,-27581,26918,1899,-58,-614,-2648,-208,-85,71,1
-26,-205,-2373,2863,-1315,-1037,-21,-266,-2277,3425,-1657,-1359,-12,-272,-2168,4041,-1902,-1567,-7,-337,-2091,5327,-1661,-1812,13,-347,-1952,6629,-1616,-1757,6,-367,-1890,7743,-1522,-1653,-25,-385,-1805,8735,-1530,-1654,-65,-446,-1910,10308,-1356,-1647,10753,1980,-23939,-3333,32767,-6577,-59,-627,-2664,-242,-70,20,1
-74,-135,-2344,2435,-406,-1208,-74,-166,-2267,3168,-479,-1519,-65,-219,-2130,4089,-636,-1744,-34,-261,-2048,5189,-550,-1912,30,-290,-1954,6661,-237,-1845,39,-310,-1844,7997,183,-1662,32,-334,-1792,9612,195,-1443,-42,-338,-1785,10831,-670,-1453,-50,-229,-2050,10858,-1930,-1584,-63,-612,-2680,-213,-144,139,1
-68,-89,-2496,1635,-372,-1066,-94,-125,-2402,2254,-631,-1443,-89,-148,-2268,2797,-708,-2028,-40,-200,-2220,3843,-670,-2201,-39,-196,-2078,4645,-811,-2368,19,-276,-2019,6108,-681,-2177,10,-289,-1932,7451,-621,-1669,15,-314,-1850,8875,-543,-1375,3,-236,-1875,9533,-1208,-730,-55,-607,-2658,-212,-75,70,1
-19,-74,-2366,2707,-313,-1823,-24,-97,-2303,3394,-223,-2202,32,-129,-2222,4141,-417,-2203,80,-160,-2164,5101,-422,-2147,96,-190,-2078,6358,-340,-1677,99,-243,-1992,7708,-417,-1245,75,-221,-2013,8713,-979,-1046,152,-135,-2234,8980,-1948,-138,13656,-3227,-20971,14052,32767,-27640,-61,-611,-2664,-182,-88,81,1
-6,-91,-2358,3016,-75,-1133,-50,-85,-2250,3571,-199,-1200,9,-147,-2182,4614,-125,-1276,-21,-156,-2060,5753,-557,-996,-28,-208,-2016,7141,-423,-1015,-21,-249,-1937,8486,-557,-996,-29,-259,-1892,9624,-908,-1136,27,-238,-1966,10499,-1432,-1228,244,-95,-2353,10817,-1770,-299,-40,-622,-2659,-194,-68,-8,1
-20,-56,-2386,2269,507,-1512,-15,-51,-2308,3086,451,-1656,4,-108,-2242,3836,365,-1776,31,-134,-2179,4727,353,-1627,37,-182,-2101,5791,281,-1515,63,-192,-2045,6906,301,-1470,69,-215,-2036,7918,356,-1446,43,-212,-2041,8693,130,-1307,14495,-4538,-17703,15398,32767,-31969,-74,-618,-2658,-230,-94,76,1
27,-11,-2469,1949,-364,-1316,58,-3,-2388,2676,-441,-1606,42,-48,-2386,3128,-309,-2060,-1,-87,-2290,3783,-552,-2356,49,-111,-2235,4677,-692,-2373,42,-141,-2159,5768,-567,-2284,62,-180,-2099,7037,-701,-2057,41,-227,-2076,8353,-865,-1782,-28,-188,-2087,9318,-1390,-1224,-13,-620,-2662,-1285,1391,-3605,1
-31,-9,-2510,1364,71,-685,-16,-26,-2484,1814,56,-891,2,-11,-2442,2728,-123,-1187,-18,-107,-2330,3207,-364,-1331,-36,-108,-2222,3971,-362,-1405,4,-148,-2148,4966,-393,-1449,15,-174,-2095,6084,-395,-1244,35,-211,-2040,7280,-275,-1183,24,-237,-2002,8574,-515,-1108,-102,-642,-2573,-1319,1439,-4857,1
17,0,-2507,1521,323,-987,-14,18,-2414,1836,361,-1314,23,-83,-2370,2675,397,-1575,-54,-86,-2245,3260,138,-1753,9,-134,-2179,4259,103,-1815,34,-161,-2111,5390,-34,-1422,-6,-195,-2091,6606,-141,-938,-21,-198,-2036,7626,-299,-588,206,-169,-2454,8752,13036,619,31,-587,-2689,-252,-1254,1216,1
